source_rank,corp_name
1,삼성전자
2,SK하이닉스
3,SK스퀘어
5,삼성전기
6,현대자동차
7,LG에너지솔루션
8,삼성바이오로직스
9,KB금융
10,삼성생명
11,삼성물산
12,HD현대중공업
13,기아
14,한화에어로스페이스
15,두산에너빌리티
16,신한지주
17,현대모비스
18,셀트리온
19,SK
20,NAVER
21,하나금융지주
22,삼성SDI
23,엘에스일렉트릭
24,LG전자
25,삼성화재해상보험
26,한화오션
27,HD한국조선해양
28,효성중공업
29,HD현대일렉트릭
30,POSCO홀딩스
31,우리금융지주
33,한국전력공사
34,고려아연
36,두산
37,메리츠금융지주
38,SK텔레콤
39,한미반도체
40,HMM
41,미래에셋증권
42,삼성중공업
43,SK이노베이션
44,케이티앤지
45,LG화학
46,삼성에스디에스
47,LIG디펜스앤에어로스페이스
48,HD현대
49,카카오
50,LG
51,현대로템
52,기업은행
53,현대글로비스
54,한국항공우주
55,LG이노텍
56,S-Oil
57,한화시스템
58,에이피알
59,케이티
60,포스코퓨처엠
61,현대건설
62,한국금융지주
64,현대오토에버
65,크래프톤
66,NH투자증권
67,카카오뱅크
68,LS
69,DB손해보험
71,대한항공
73,삼성에피스홀딩스
74,삼성E&A
75,포스코인터내셔널
76,삼양식품
78,GS
80,삼성증권
81,HD현대마린솔루션
82,한국타이어앤테크놀로지
83,한진칼
85,하이브
86,아모레퍼시픽
87,키움증권
90,LG씨엔에스
91,HD건설기계
92,대우건설
94,코웨이
95,에스케이바이오팜
96,LG유플러스
97,이수페타시스
99,두산밥캣
100,유한양행
101,한화
103,카카오페이
104,대한전선
106,삼성카드
108,대덕전자
110,JB금융지주
111,한화솔루션
112,오리온
113,산일전기
114,NC
115,LG디스플레이
116,한미약품
117,맥쿼리인프라
